"AI handler ""%1"" is not available.","AI handler ""%1"" is not available."
"AI processing completed successfully.","AI processing completed successfully."
"AI provider ""%1"" is not available.","AI provider ""%1"" is not available."
"AI provider ""%1"" is not properly configured.","AI provider ""%1"" is not properly configured."
"An error occurred while processing the AI request: %1","An error occurred while processing the AI request: %1"
"Could not determine provider for model ""%1"".","Could not determine provider for model ""%1""."
"Handler does not specify a model.","Handler does not specify a model."
"Handler parameter is required.","Handler parameter is required."
"Hyvä AI","Hyvä AI"
"Invalid request method.","Invalid request method."
"Missing data parameter.","Missing data parameter."
"Select an AI model above to configure provider-specific options.","Select an AI model above to configure provider-specific options."
"This provider has no configurable options.","This provider has no configurable options."
